filename,publisher,raw_count,total,ag_share
allafrica_2000.csv,vanguard (lagos),12,19,0.632
allafrica_2000.csv,visafric (toronto),1,1,1.0
allafrica_2000.csv,weekly trust (abuja),2,2,1.0
allafrica_2000.csv,zimbabwe independent (harare),1,1,1.0
allafrica_2000.csv,zimbabwe standard (harare),1,1,1.0
allafrica_2001.csv,accra mail (accra),33,42,0.786
allafrica_2001.csv,action by churches together (geneva),1,1,1.0
allafrica_2001.csv,addis tribune (addis ababa),2,2,1.0
allafrica_2001.csv,africa news service (durham),1,1,1.0
allafrica_2001.csv,african church information service (nairobi),3,3,1.0
allafrica_2001.csv,african rights (london),0,1,0.0
allafrica_2001.csv,buanews (tshwane),0,1,0.0
allafrica_2001.csv,business day (johannesburg),3,7,0.429
allafrica_2001.csv,cape argus (cape town),1,2,0.5
allafrica_2001.csv,concord times (freetown),2,2,1.0
allafrica_2001.csv,daily times (blantyre),0,1,0.0
allafrica_2001.csv,daily trust (abuja),12,16,0.75
allafrica_2001.csv,expo times (freetown),1,3,0.333
allafrica_2001.csv,financial gazette (harare),6,6,1.0
allafrica_2001.csv,financial standard (lagos),0,1,0.0
allafrica_2001.csv,food and agricultural organization (rome),4,4,1.0
allafrica_2001.csv,ghanaian chronicle (accra),17,23,0.739
allafrica_2001.csv,government of uganda (kampala),1,1,1.0
allafrica_2001.csv,internews (arusha),1,2,0.5
allafrica_2001.csv,mail & guardian (johannesburg),4,10,0.4
allafrica_2001.csv,mmegi/the reporter (gaborone),1,2,0.5
allafrica_2001.csv,mopheme/the survivor (maseru),2,2,1.0
allafrica_2001.csv,new vision (kampala),15,20,0.75
allafrica_2001.csv,newswatch (lagos),7,10,0.7
allafrica_2001.csv,p.m. news (lagos),7,14,0.5
allafrica_2001.csv,panafrican news agency (dakar),17,21,0.81
allafrica_2001.csv,public agenda (accra),5,5,1.0
allafrica_2001.csv,standard times (freetown),3,3,1.0
allafrica_2001.csv,tempo (lagos),3,7,0.429
allafrica_2001.csv,the daily observer (banjul),0,1,0.0
allafrica_2001.csv,the east african (nairobi),1,1,1.0
allafrica_2001.csv,the guardian (lagos),7,7,1.0
allafrica_2001.csv,the independent (accra),1,1,1.0
allafrica_2001.csv,the independent (banjul),0,1,0.0
allafrica_2001.csv,the insider (harare),1,1,1.0
allafrica_2001.csv,the monitor (kampala),1,4,0.25
allafrica_2001.csv,the namibian (windhoek),3,3,1.0
allafrica_2001.csv,the nation (nairobi),19,23,0.826
allafrica_2001.csv,the news (lagos),15,15,1.0
allafrica_2001.csv,"the perspective (smyrna, georgia)",3,3,1.0
allafrica_2001.csv,the post (lusaka),2,2,1.0
allafrica_2001.csv,the post express (lagos),4,5,0.8
allafrica_2001.csv,the times of zambia (ndola),5,6,0.833
allafrica_2001.csv,this day (lagos),29,37,0.784
allafrica_2001.csv,tomric news agency (dar es salaam),1,1,1.0
allafrica_2001.csv,un integrated regional information networks,40,44,0.909
allafrica_2001.csv,united nations (new york),1,1,1.0
allafrica_2001.csv,united nations world food programme (rome),7,7,1.0
allafrica_2001.csv,vanguard (lagos),23,32,0.719
allafrica_2001.csv,weekly trust (abuja),2,2,1.0
allafrica_2001.csv,woza (johannesburg),1,2,0.5
allafrica_2001.csv,zimbabwe independent (harare),4,4,1.0
allafrica_2002.csv,accra mail (accra),18,20,0.9
allafrica_2002.csv,addis tribune (addis ababa),5,5,1.0
allafrica_2002.csv,african church information service (nairobi),3,4,0.75
allafrica_2002.csv,african eye news service (nelspruit),2,3,0.667
allafrica_2002.csv,agencia de informacao de mocambique (maputo),4,4,1.0
allafrica_2002.csv,angola press agency (luanda),3,4,0.75
allafrica_2002.csv,buanews (tshwane),0,1,0.0
allafrica_2002.csv,business day (johannesburg),4,10,0.4
allafrica_2002.csv,cape argus (cape town),1,1,1.0
allafrica_2002.csv,catholic relief services (baltimore),1,1,1.0
allafrica_2002.csv,concord times (freetown),2,2,1.0
allafrica_2002.csv,content from a premium partner united nations economic commission for africa (addis ababa),1,1,1.0
allafrica_2002.csv,daily champion (lagos),1,4,0.25
allafrica_2002.csv,daily times (blantyre),1,2,0.5
allafrica_2002.csv,daily trust (abuja),32,38,0.842
allafrica_2002.csv,financial gazette (harare),2,4,0.5
allafrica_2002.csv,ghanaian chronicle (accra),21,23,0.913
allafrica_2002.csv,hirondelle news agency (lausanne),1,1,1.0
allafrica_2002.csv,mail & guardian (johannesburg),3,5,0.6
